State,Year,GDP
South Carolina,2023,332946.8
South Dakota,2018,53349.5
South Dakota,2019,55175.8
South Dakota,2020,56847.3
South Dakota,2021,63337.7
South Dakota,2022,69425.6
South Dakota,2023,74458.8
Tennessee,2018,369713.2
Tennessee,2019,385833.0
Tennessee,2020,391588.6
Tennessee,2021,443419.7
Tennessee,2022,490587.0
Tennessee,2023,531246.8
Texas,2018,1808026.9
Texas,2019,1864872.3
Texas,2020,1810670.2
Texas,2021,2117013.7
Texas,2022,2476903.2
Texas,2023,2637237.6
Utah,2018,186805.7
Utah,2019,201312.2
Utah,2020,206240.5
Utah,2021,233320.9
Utah,2022,261548.5
Utah,2023,283230.8
Vermont,2018,33482.6
Vermont,2019,34760.3
Vermont,2020,34572.3
Vermont,2021,37290.8
Vermont,2022,41211.2
Vermont,2023,43931.6
Virginia,2018,537158.3
Virginia,2019,561701.8
Virginia,2020,566101.5
Virginia,2021,616187.9
Virginia,2022,665624.7
Virginia,2023,722767.4
Washington,2018,570337.8
Washington,2019,608643.4
Washington,2020,617739.1
Washington,2021,683367.0
Washington,2022,741002.8
Washington,2023,801455.5
West Virginia,2018,79794.3
West Virginia,2019,80242.4
West Virginia,2020,77536.5
West Virginia,2021,87178.8
West Virginia,2022,98824.1
West Virginia,2023,101479.9
Wisconsin,2018,335144.3
Wisconsin,2019,346906.6
Wisconsin,2020,344691.0
Wisconsin,2021,368997.3
Wisconsin,2022,403570.3
Wisconsin,2023,431913.9
Wyoming,2018,39614.5
Wyoming,2019,40029.5
Wyoming,2020,36982.7
Wyoming,2021,42410.6
Wyoming,2022,49570.4
Wyoming,2023,51350.1
New England,2018,1083763.3
New England,2019,1129673.3
New England,2020,1129507.8
New England,2021,1230866.5
New England,2022,1324272.9
New England,2023,1408135.9
Mideast,2018,3736014.5
Mideast,2019,3876195.2
Mideast,2020,3831778.2
Mideast,2021,4160983.6
Mideast,2022,4488400.5
Mideast,2023,4748506.1
Great Lakes,2018,2781326.3
Great Lakes,2019,2870499.2
Great Lakes,2020,2806891.4
Great Lakes,2021,3078983.0
Great Lakes,2022,3363657.8
Great Lakes,2023,3589545.5
Plains,2018,1301100.0
Plains,2019,1340848.0
Plains,2020,1337958.6
Plains,2021,1475503.8
Plains,2022,1624774.2
Plains,2023,1726264.9
Southeast,2018,4411751.3
Southeast,2019,4611953.7
Southeast,2020,4609594.9
Southeast,2021,5143616.9
Southeast,2022,5712825.3
Southeast,2023,6184158.9
Southwest,2018,2464730.0
Southwest,2019,2550062.7
Southwest,2020,2494430.9
Southwest,2021,2888063.9
Southwest,2022,3342636.0
Southwest,2023,3561801.9
Rocky Mountain,2018,730567.7
Rocky Mountain,2019,776330.2
Rocky Mountain,2020,781318.5
Rocky Mountain,2021,881711.7
Rocky Mountain,2022,992013.8
Rocky Mountain,2023,1063127.8
Far West,2018,4026579.0
Far West,2019,4258455.7
Far West,2020,4254155.7
Far West,2021,4733129.8
Far West,2022,5058451.6
Far West,2023,5376774.0
